Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
147,George Mason,A10,20-13,1.54,102.9,101.4,66.5,0.061,-0.75,104.9,105.7,-1.6
148,UNC Asheville,BSth,27-7,1.51,104.3,102.8,68.6,0.152,-5.27,102.8,108.1,-0.52
149,Georgia,SEC,16-16,1.39,104.5,103.1,67.8,0.069,4.42,107.6,103.2,-6.97
150,Missouri St.,MVC,17-15,1.33,104.7,103.4,62.3,-0.021,-0.76,104,104.8,1.69
151,South Florida,Amer,14-18,1.33,106,104.7,68.5,-0.067,0.76,105.5,104.7,-6.95
152,Portland,WCC,14-19,1.24,111.1,109.9,69.2,-0.056,4.45,108.7,104.3,0.64
153,Wyoming,MWC,22-Sep,1.24,108,106.7,65.8,-0.099,7.35,109.2,101.9,-0.18
154,UC Davis,BW,18-14,1.15,104.9,103.8,70.6,-0.028,-1.74,103.5,105.2,-0.76
155,Richmond,A10,15-18,1.09,103.9,102.8,65.5,-0.075,-0.47,105,105.5,-2.51
156,Cal Baptist,WAC,17-16,1.07,103.9,102.8,64.2,-0.047,-0.67,104.2,104.8,-6.58
157,Lipscomb,ASun,20-13,0.99,105,104,69.6,-0.001,-2.6,105.7,108.3,-2.37
158,UNC Wilmington,CAA,24-10,0.83,102.5,101.7,65.5,0.133,-3.38,103.3,106.7,3.9
159,Montana,BSky,17-14,0.68,109,108.4,63.8,0.017,-0.72,105.7,106.5,3.68
160,Tarleton St.,WAC,17-16,0.58,103.6,103.1,66.7,0.027,3.68,106.9,103.2,7.33
161,Northern Kentucky,Horz,22-12,0.51,103.5,102.9,62.1,0.053,-3.84,104.5,108.4,4.24
162,Long Beach St.,BW,17-16,0.51,105.5,105,73,-0.012,0.31,104,103.7,6.56
163,Harvard,Ivy,14-14,0.31,101.4,101.1,66,-0.081,-1.68,104.1,105.8,-2.78
164,Ball St.,MAC,20-12,0.22,108.3,108,67.7,0.019,-3.38,105,108.4,-3.98
165,Stetson,ASun,17-13,0.17,113.8,113.6,64.8,0.034,-0.62,105.8,106.4,6.4
166,South Dakota St.,Sum,19-13,0.17,105.3,105.1,66.7,0.066,-1.71,105.2,106.9,8.6
167,Georgia Tech,ACC,15-18,0.15,104.3,104.2,66.8,-0.003,4.45,108.9,104.5,-2.97
168,Notre Dame,ACC,21-Nov,0,108.8,108.8,65,-0.066,3.22,107.8,104.6,-3.77
169,Eastern Kentucky,ASun,20-13,-0.06,103.5,103.5,70.3,0.072,-1.12,105.2,106.3,2.85
170,Grambling St.,SWAC,24-8,-0.19,101,101.2,66.3,0.108,-8.74,99.1,107.9,3.97
171,Texas A&M Corpus Chris,Slnd,23-10,-0.22,107.5,107.7,69.4,0.019,-9.02,101.3,110.4,1.44
172,Longwood,BSth,20-12,-0.27,104.4,104.6,66.1,-0.032,-7.26,102.1,109.3,-7.97
173,Boston College,ACC,16-17,-0.4,102.7,103.1,66.7,0.09,3.94,108.3,104.4,-4.24
174,Louisiana Tech,CUSA,15-18,-0.49,105.4,105.9,66.7,-0.028,2.44,106.2,103.8,0.77
175,Old Dominion,SB,19-12,-0.59,103.3,103.9,65.1,0.099,-0.54,104.4,105,-1.48
176,East Carolina,Amer,16-17,-0.63,103.5,104.1,67.6,0.036,1,105.9,104.9,-8.46
177,Appalachian St.,SB,16-16,-0.73,101.5,102.3,65.1,-0.035,-0.62,104.9,105.5,-0.73
178,Cleveland St.,Horz,21-13,-0.78,104.5,105.3,66.1,0.029,-4.96,103.4,108.4,0.34
179,Pepperdine,WCC,22-Sep,-0.79,105.5,106.3,72.3,-0.14,5.42,109.9,104.5,3.33
180,SMU,Amer,22-Oct,-0.85,103.4,104.3,69.7,-0.048,6.41,108.2,101.8,4.24
181,Pacific,WCC,15-18,-0.89,108.4,109.3,69.7,0.043,2.21,107.7,105.5,-3.22
182,Radford,BSth,19-14,-0.98,104.5,105.5,64.6,-0.038,-4.43,103.7,108.2,0.83
183,Brown,Ivy,14-13,-1,100.8,101.8,69.4,0.005,-2.22,104.2,106.4,-4.26
